datetime,la_temp_mean,la_temp_max,la_temp_min,la_rhum_mean,la_prcp_sum,la_wspd_mean,sf_temp_mean,sf_temp_max,sf_temp_min,sf_rhum_mean,sf_prcp_sum,sf_wspd_mean,sd_temp_mean,sd_temp_max,sd_temp_min,sd_rhum_mean,sd_prcp_sum,sd_wspd_mean,sj_temp_mean,sj_temp_max,sj_temp_min,sj_rhum_mean,sj_prcp_sum,sj_wspd_mean,fresno_temp_mean,fresno_temp_max,fresno_temp_min,fresno_rhum_mean,fresno_prcp_sum,fresno_wspd_mean,load_mw_mean,load_mw_max,load_mw_min,load_mw_std,year,month,day,day_of_week,day_name,day_of_year,is_weekend,target_load_mw_mean
2024-05-17,17.116666666666667,20.6,15.9,73.33333333333333,0.0,9.512500000000001,15.233333333333334,19.9,12.3,74.83333333333333,0.0,17.558333333333334,17.25,19.4,15.0,76.5,0.0,9.450000000000001,18.120833333333334,23.9,14.4,64.91666666666667,0.0,15.329166666666666,23.583333333333332,32.0,16.0,49.291666666666664,0.0,13.366666666666667,23004.45138888889,27492.416666666668,20207.5,2206.706600315778,2024,5,17,4,Friday,138,0,23004.45138888889
2024-05-18,17.079166666666666,19.8,15.7,73.29166666666667,0.0,12.775,15.424999999999999,19.6,13.2,75.25,0.0,12.933333333333332,17.85833333333333,20.6,16.7,69.625,0.0,9.299999999999999,17.966666666666665,25.0,13.9,64.75,0.0,14.766666666666666,22.958333333333332,31.0,15.0,53.291666666666664,0.0,11.133333333333333,20524.885416666668,25613.833333333332,15216.5,3061.9989711236244,2024,5,18,5,Saturday,139,1,20524.885416666668
2024-05-19,17.166666666666668,19.7,15.0,69.16666666666667,0.0,11.458333333333334,14.9125,19.2,11.7,69.66666666666667,0.0,16.008333333333333,17.220833333333335,19.4,16.1,68.79166666666667,0.0,11.737499999999999,17.349999999999998,25.0,12.2,61.416666666666664,0.0,15.654166666666667,21.875,30.0,14.0,51.875,0.0,12.075000000000001,19208.399305555555,25517.416666666668,13233.916666666666,3790.883636297583,2024,5,19,6,Sunday,140,1,19208.399305555555
2024-05-20,16.233333333333334,19.9,14.0,72.29166666666667,0.1,11.966666666666667,14.895833333333334,20.7,11.0,66.375,0.0,16.3125,16.941666666666666,18.9,15.0,68.66666666666667,0.0,9.670833333333333,17.091666666666665,25.0,11.1,53.916666666666664,0.0,14.4375,20.958333333333332,29.0,13.0,41.625,0.0,13.5,21683.913194444445,26921.916666666668,18294.0,2612.962803410014,2024,5,20,0,Monday,141,0,21683.913194444445
2024-05-21,15.616666666666667,20.7,12.0,72.25,0.0,15.508333333333333,15.7875,23.5,10.7,68.0,0.0,13.033333333333333,17.141666666666666,18.9,15.0,63.791666666666664,0.0,9.9125,18.033333333333335,28.3,11.1,56.375,0.0,11.991666666666667,21.625,29.0,14.0,40.333333333333336,0.0,13.166666666666666,22235.64236111111,27846.5,17985.833333333332,2867.73320902409,2024,5,21,1,Tuesday,142,0,22235.64236111111
2024-05-22,16.1125,21.2,12.2,76.25,0.0,12.483333333333334,15.7875,22.1,11.6,70.04166666666667,0.0,17.575,17.345833333333335,19.4,15.6,68.08333333333333,0.0,7.675,19.258333333333333,27.2,12.2,54.375,0.0,12.0,23.416666666666668,31.0,15.0,31.625,0.0,9.716666666666667,22622.10069444444,27771.583333333332,18552.0,2748.742072744429,2024,5,22,2,Wednesday,143,0,22622.10069444444
2024-05-23,16.595833333333335,21.1,14.6,72.33333333333333,0.0,12.520833333333334,14.875,18.7,11.2,65.20833333333333,0.0,20.191666666666666,16.875,18.3,15.6,70.20833333333333,0.0,11.945833333333333,17.608333333333334,25.0,11.7,55.875,0.0,11.275,22.458333333333332,31.0,15.0,40.458333333333336,0.0,14.625,22539.73611111111,27199.833333333332,19397.25,2326.3881148747714,2024,5,23,3,Thursday,144,0,22539.73611111111
2024-05-24,16.495833333333334,20.6,13.6,74.45833333333333,0.0,12.1875,12.825000000000001,16.7,11.0,73.79166666666667,0.0,22.679166666666664,17.066666666666666,19.4,16.1,70.95833333333333,0.0,9.691666666666666,15.85,23.3,11.7,58.541666666666664,0.0,13.695833333333333,21.291666666666668,28.0,14.0,36.291666666666664,0.0,12.954166666666666,21998.809027777777,25752.416666666668,18811.416666666668,1988.8703581726622,2024,5,24,4,Friday,145,0,21998.809027777777
2024-05-25,15.929166666666667,20.4,12.3,70.58333333333333,0.0,17.266666666666666,13.341666666666667,16.6,11.6,79.625,0.30000000000000004,24.40833333333333,16.570833333333333,18.3,14.4,74.20833333333333,0.8,13.299999999999999,16.125,20.0,13.9,61.833333333333336,0.0,12.0875,18.125,27.0,12.0,53.75,0.0,14.208333333333334,19494.274305555555,24117.416666666668,14679.416666666666,2950.387525975097,2024,5,25,5,Saturday,146,1,19494.274305555555
2024-05-26,16.587500000000002,21.5,13.0,71.41666666666667,0.0,12.566666666666668,13.979166666666666,19.8,11.0,69.83333333333333,0.0,15.275,16.470833333333335,18.9,15.6,70.83333333333333,0.0,7.266666666666667,15.733333333333334,24.4,10.0,60.25,0.0,11.170833333333334,19.541666666666668,28.0,12.0,51.416666666666664,0.0,13.691666666666668,18738.1875,24550.333333333332,13164.916666666666,3561.9013861209687,2024,5,26,6,Sunday,147,1,18738.1875
